ds,yhat_lower,yhat_upper,yhat
31/07/2015,3154.503218677205,3557.879178985086,3355.702111573153
31/08/2015,4548.450325418212,4939.109582365661,4735.733399907829
30/09/2015,5346.970234301578,5710.301330444319,5526.249045606889
31/10/2015,5628.928389,5993.499362047365,5808.259221149005
30/11/2015,2871.9208899916935,3253.936290987549,3060.4596947559494
31/12/2015,3543.422648837352,3914.9663615520058,3731.5292523959506
31/01/2016,2750.4923303143105,3138.7662655771733,2948.7831369120463
29/02/2016,4399.286571718955,4772.295214778289,4594.357576469136
31/03/2016,6062.756549088321,6451.120562144267,6260.492782370798
30/04/2016,6178.272295455631,6552.683099043793,6363.315243940935
31/05/2016,6498.046436234617,6871.789827983562,6688.705839323609
30/06/2016,5854.835335196357,6230.717037808809,6051.716921070117
31/07/2016,6978.828427503988,7359.194721969183,7166.560152768274
31/08/2016,7036.980063285269,7413.546649962273,7224.055340862884
30/09/2016,6362.054250033544,6741.877045338831,6552.782433133133
31/10/2016,6746.904386475722,7126.670810847427,6938.627848791315
30/11/2016,4784.988033444629,5167.446966417096,4978.595324854886
31/12/2016,4594.327827538645,4984.150318645532,4792.450388174344
31/01/2017,4076.417677276309,4444.738100434628,4257.998359362135
28/02/2017,5270.834425077715,5643.401772372948,5459.948755845629
31/03/2017,5815.780830418184,6215.926892943864,6015.608445
30/04/2017,6297.028859174425,6667.0766731249605,6487.868919270974
31/05/2017,6587.073128201573,6954.307549087139,6772.307847041372
30/06/2017,6293.846283237518,6672.9583527340565,6486.359153990403
31/07/2017,6636.946264979121,7012.0808816582885,6830.0026858664005
31/08/2017,7012.298286862419,7405.326626052977,7212.950358009227
30/09/2017,6746.678532224025,7122.068344059397,6935.530169388241
31/10/2017,7002.886625206421,7399.200531665254,7195.333072995252
30/11/2017,4677.418656331309,5078.943454407105,4870.639634696199
31/12/2017,4644.098966915727,5094.560544498496,4864.388853302219
31/01/2018,3894.211206775587,4384.580112675026,4139.574763936105
28/02/2018,5736.364104675115,6310.296233171067,6014.792257936133
31/03/2018,5435.220953436488,6095.755462,5762.614793635548
30/04/2018,6255.580344169109,6996.558673,6614.407280906283
31/05/2018,6413.948454825662,7307.986323918358,6857.956725356337
30/06/2018,6456.561849843837,7440.567258139965,6914.303467576676
31/07/2018,5959.5279675058455,7100.180541603933,6488.386140667601
31/08/2018,6626.376945494555,7858.230287710827,7210.501231148097
