Unnamed: 0.1,Unnamed: 0,Translated_Review,Rating,Sentimiento_VADER,Sentimiento,SENTIMIENTO_CALCULADO
2,2,"Bonitas habitaciones, no un hotel de 4* con experiencia en Mónaco, Seattle, buen hotel, no es un nivel de 4*. Aspectos positivos: baño grande, suite mediterránea, cama cómoda, almohadas, personal de limpieza atento, aspectos negativos, unidad de aire acondicionado que no funciona correctamente, escritorio de estancia desorganizado, 3 llamadas de despertador separadas perdidas, conserje ocupado, tacto duro, no Proporcionar orientación para solicitudes especiales. La suite de base de sonido para iPod de uso intensivo de TV no funciona. Decidí reservar una suite mediterránea Estancia de fin de semana de 3 noches Primera opción Descanso Fiesta llena, comparación con la que pasamos 45 noches Habitación más grande en pies cuadrados Excelente bañera Bañera de hidromasaje Chorros Ducha agradable. Antes de hospedarse en el hotel, organizar el precio del servicio de automóvil 53 propinas Conductor razonable esperando la llegada. Checkin Fácil desventaja Habitación elegida Bañera de hidromasaje para 2 personas Sin accesorios de baño Sales Baño de burbujas No se quedó, la noche recibió 12/1 Un cupón facturado Botella de champán Bonito gesto Pescado Sala de espera, Sala de impresión Espacio abierto enorme Habitación de fieltro grande, TV muy lejos Cama Cambio de tareas domésticas Canal, soporte para iPod roto decepcionante. Por la mañana pregunté en el escritorio, verifique el termostato, dijo 65F 74 2 grados cálido, intente cubrir la cara, noche, luz azul brillante, se mantuvo, tengo habitación por la noche, no, primer escritorio, llamó a mantenimiento, vino, mire, el termostato le dijo a la configuración de reproducción, la caja digital feliz no funciona. , pedí que me despertaran a las 10 a. m. de la mañana, no sucedió, llamaron más tarde a las 6 p. m., siesta, se me olvidó, despertarme a las 10 a. m., sí, se olvidó.",3,NEGATIVO,NEGATIVO,NEGATIVO
15,15,"horrible servicio al cliente estancia en el hotel 3 4 de febrero de 2007 mi amigo eligió el hotel Mónaco sitio web atractivo paquete en línea incluido champán salida tardía 3 regalo de valet gratis fin de semana de spa, amigo revisó la habitación horas antes llegó más tarde, sacó el valet el joven se quedó de pie, pidió que el valet abriera dijo, sacó las maletas don__Ç_é_ ofreció ayuda, tengo bolsa de ropa maleta vino llave del auto el número de la habitación dice no valet, estacionamiento auto calle, dejó la llave funcionando preguntó valet park auto consigue, fue a la habitación botella fina champán aceite loción regalo spa, vestido fue vino a la cama notó gotas de sangre almohadas sábanas almohadas, disgustado simplemente increíble, llamó al escritorio envió a alguien 20 minutos después, cambió las sábanas y se fue disculpándose, el domingo por la mañana llamó al escritorio habló con hojas de administración agravado de mala educación, aparentemente ningún gerente amable supervisor fin de semana espere el lunes por la mañana, el joven habló dijo cubrir comida agregando persona cambiada Las hojas decían sangre fresca en un tono grosero, salida a las 3:00 p. m., paquete reservado, 12 a la 1:30 el personal de limpieza intentó caminar por la habitación abriendo la puerta disculpándose por cerrar, la gente llamó diciendo cheque 12 para recordar el paquete, finalmente las cosas empacadas fueron al piso de abajo, cheque, rápidamente firmaron el papel, tomaron el camino y lo miraron más de cerca. habitación, desafortunadamente se ofreció comida cubierta con servicio de valet cobrado, llamó al escritorio, preguntó los cargos, la señora respondió bruscamente diciendo que estaba consciente del problema experimentado el lunes como se dijo antes, la vida fue tratada como un hotel, no estoy seguro de que el hotel tenga problemas constantemente, los afortunados se quedan, recomiendo a alguien que lo sepa.",1,NEGATIVO,NEGATIVO,NEGATIVO
19,19,"hmmmmm, dice que hay muchas esperanzas en el hotel Mónaco, eligió la base para su novia, viaje de compras a Seattle, quédese, dice que dada la competencia en Seattle, está bien, el lote del hotel tiene características agradables, pequeñas cosas que restan valor a la ropa de cama, edredones lujosos súper suaves, almohadas, colchones duros como una piedra, cama de hotel estándar que lo mantiene despierto por las noches, muebles, patrones de colores agradables. silla divertida rasga el papel de la pared pelándose, me quedé en la habitación 815 ruido como sirena de niebla las paredes vibraron, supongo que las tuberías de agua son realmente molestas. Al despertar por la mañana paquetes descafeinados en lugar de café normal, tomó 30 minutos enviar el café mostró solo el paquete, Coffee Town usa paquete pequeño 3 diminuto seco cremas, supuesto servicio de café en el vestíbulo, despejado muy temprano, se fue a las 10 a. m., recepción con vino 5-6 niños, mejor momento para caminar a las 5:50, parecía que el gerente quería probar el segundo vaso, plato de comida, galletas con peces de colores, elegante. El viernes por la noche, el restaurante bar cierra a las 4 p. m. fiesta privada, comida planificada, bar divertido escuchado, fastidio agregar descanso. Todos los carteles del hotel dicen cosas como comodidad del hotel, me sentí atendido cómodamente, ningún personal preguntó, dijo hola, buscó visita,",3,POSITIVO,NEGATIVO,NEGATIVO
32,32,"Ruido, aire acondicionado: estándar, estadía organizada por agencia de viajes, desafortunadamente, viaje de decepción al hotel Warwick Seattle, estadía de 3 noches, Warwick cambió 3 habitaciones, estadía inicial de un minuto, el personal del hotel no lo hizo sentir como un huésped como un intruso, se mostró reacio a ayudar a resolver quejas, el hotel está justo en el centro a 5 minutos. restaurantes realmente buenos, algo bueno, disponibilidad de habitación ofrecida ventana del segundo piso que abre directamente el nivel de estacionamiento, cambio de habitación, 3 habitaciones sonido fuerte aire acondicionado/calefacción hotel increíble, el personal del hotel dijo habitaciones con ruido estándar, intenté evitar el uso de orden nocturna para dormir posible viendo televisión fuerte,",1,NEGATIVO,NEUTRAL,NEGATIVO
40,40,"Mala elección, cable caliente del hotel reservado llamado inmediatamente solicitando una habitación para no fumadores habitación con cama king size ascensor/hielo. La persona habló agradablemente dijo que no se garantizan las solicitudes aceptadas tome nota de la reserva, el mostrador de la persona de check-in fue grosero dijo que no había ninguna solicitud especial anotó la tarjeta de reserva y dijo que no había camas king reserva de camino atascada 2 camas dobles, ubicadas directamente frente al hielo del ascensor, para no fumadores, sin ascensor, estacionamiento en el hotel, tapetes de Warwick, garaje, escaleras sucias, el hotel da al cuarto huele a orina, alfombras, registro, área del ascensor que necesita limpieza, cortinas tapizadas, habitación que necesita limpieza y letrero presionado, baño, conservación de agua la faceta de la bañera goteaba continuamente, el drenaje de la bañera necesita atención, los orificios de la cortina de la ducha, no había espacio para hacer cafetera, la ropa de cama no encajaba en la cama para dormir directamente, la ropa de cama del colchón estaba torcida, el personal era poco amigable, el personal de limpieza era bastante agradable, la estadía en el hotel,",1,NEGATIVO,NEUTRAL,NEGATIVO
65,65,"La posada odiada es terrible, el servicio de habitaciones es horrible, el personal es poco acogedor, la decoración recientemente actualizada carece de un aspecto completo, el personal de administración es horrible,",1,NEGATIVO,NEGATIVO,NEGATIVO
69,69,"as grunge vive hace moho cama pequeña lavabo de metal fresco extra en lugar de mesita de noche,",1,NEUTRAL,NEUTRAL,NEGATIVO
74,74,"base interesante y cómoda en Seattle realmente disfruté el tiempo, decoración interesante, toques únicos, baños súper limpios y ordenados, espaciosos, limpios y disponibles, desayuno adecuado, fresco, simple, bastante saludable, agradable cambio, tarifa habitual de desayuno que induce el corazón, hoteles servidos, definitivamente quédese,",4,NEUTRAL,NEGATIVO,NEGATIVO
76,76,"manténgase alejado, la reserva de Internet sonó el viernes una hora más tarde agregue la reserva del jueves, sonó el jueves avise llegar tarde dijo que no hay problema, llegue a las 10:30 p. m. escuche oh no reserve esta noche, no hay habitación, apatía total no me preocupa, dice lo siento mira el libro de reserva lo siento apatía, finalmente dice bb puerta llama autoridad cuelga dice tiempos lamentables, empleados de administración de incompetencia, viaje completamente amargo, aléjese,",1,NEGATIVO,NEUTRAL,NEGATIVO
77,77,"habitaciones individuales como habitaciones de hospital habitaciones individuales hotel escasas intencionales saben feas como un hospital atrapado paredes blancas lavabo cuarto de lavabo forma de rectángulo pequeño. Las camas piedras duras mantas ásperas muy ruidosas. Este hotel sobrevalorado se quedó en hoteles tipo ventilador,",1,NEUTRAL,NEUTRAL,NEGATIVO
