,Nombre Hotel,Comentario,Sentimiento,Sentimiento_VADER
0,affinia,"Después de una estancia de una semana reciente en los hoteles Affinia, definitivamente puedo decir que regresaré. Ofrecen muchas comodidades y servicios en la habitación, simplemente un lugar muy cómodo y relajado para estar. Mi experiencia más agradable en el hotel Affinia fue la increíble personalización que ofrecieron. Recomendaría los hoteles Affinia a cualquiera que busque un lugar agradable para quedarse.",NEUTRAL,POSITIVO
1,affinia,"Aunque demasiado caro en mi opinión, el hotel está impecable. El personal fue muy cortés. ¿Y el servicio de spa? ¡Fue un envío de Dios! En una ubicación relativamente flexible para viajar y hacer turismo, ¡así que no gasté mucho dinero tratando de moverme por la ciudad! ME ENCANTA ! Regresando por mi aniversario",NEUTRAL,POSITIVO
2,affinia,"Me alojé en el Affina Chicago para celebrar mi aniversario. El hotel está en una excelente ubicación, pero eso no compensa el mal servicio al cliente y la mala educación del personal. Parecía que el equipo de limpieza se olvidó de pasar la aspiradora al último huésped ya que había pelos en la alfombra. Gasté más dinero del que gastaría normalmente, esperando una experiencia de lujo, y salí muy insatisfecho.",NEUTRAL,POSITIVO
3,affinia,"ESTE HOTEL ES FANTÁSTICO. Me alojé allí en mi camino por Chicago hacia Arizona y no podía creer la gran calidad del hotel. Pensé que estaba en una suite de Las Vegas. Personal realmente educado, excelente servicio de limpieza y precios increíbles. Al salir, le conté al gerente lo mucho que me había encantado el hotel, ¡e incluso me ofreció una noche extra allí! Puedes decir con seguridad que mi viaje se retrasó aproximadamente 24 horas.",NEUTRAL,POSITIVO
4,affinia,"El Affinia Chicago es un lugar maravilloso donde alojarse, mi marido y yo nos alojamos allí durante una semana para visitar a una familia y lo pasamos de maravilla. Las habitaciones estaban muy bien organizadas y eran cómodas, el personal es muy amable y la comida es más que increíble. Sin duda volveremos el año que viene.",NEUTRAL,POSITIVO
5,affinia,"La magnífica milla de Chicago es un gran lugar para visitar, ¡y alojarse en el Affinia Chicago lo hizo mucho mejor! La ubicación es increíble: todos los excelentes lugares de compras estaban a solo unos minutos de distancia, ¡y llegar a Navy Pier fue muy fácil! ¡Y los alojamientos en sí fueron maravillosos! El hotel te permite personalizar completamente tu estancia, ¡hasta elegir tu propia almohada! ¡Muy impresionado en general!",POSITIVO,POSITIVO
6,affinia,"Mi estancia en el Affinia el fin de semana pasado fue ideal y no puedo esperar a volver. Estaba en la ciudad para un breve viaje personal y quería tener una habitación limpia y encantadora cerca del centro comercial. Affinia cumplía los requisitos. La ubicación era perfecta, a sólo una cuadra de la milla magnífica. La decoración era moderna y elegante, y mi habitación estaba impecablemente limpia. ¡Incluso tienen carta de almohadas! El precio también era bastante razonable. Definitivamente regresaré.",POSITIVO,NEUTRAL
7,affinia,"Me alojé en el hotel Affnia en Chicago y quedé extremadamente insatisfecho. Recomendaría a todos que eviten este hotel. Pagué $700 en total por 2 noches en una habitación barata, pequeña y desordenada. Por supuesto, me he alojado en hoteles de calidad similar, ¡pero nunca había pagado tanto por uno de ellos! No podía creer lo que vi cuando entré a la habitación... era pequeña y había pequeñas manchas de moho en la pared (que había sido pintada). El desayuno que pedí no era terrible, pero ciertamente no era bueno. La conexión wifi era tremendamente lenta. Si quieres gastar mucho dinero en un hotel, está bien... simplemente no lo gastes aquí.",NEGATIVO,POSITIVO
8,affinia,"Nos alojamos dos noches para una reunión. Es un hotel de cadena exclusivo y estaba muy limpio. El servicio fue muy bueno, ya que los empleados de recepción del hotel fueron amables y conocedores. Las habitaciones son de tamaño decente y tienen colchones blandos. El restaurante tiene buen marisco, pero era un poco caro. Volveríamos otra vez.",NEUTRAL,POSITIVO
9,affinia,"Acabo de regresar de este fantástico hotel la semana pasada y tengo que decir que ¡me encantó! Mi esposa y yo estuvimos allí durante una semana debido a una reunión de negocios, y justo cuando entré al hotel, supe que estas vacaciones de negocios estarían bien aprovechadas. El servicio al cliente fue excelente y un empleado incluso nos guió hasta nuestra habitación. Nos presentaron una habitación fantásticamente iluminada con 2 camas, un televisor de pantalla plana e incluso acceso gratuito a Internet. A mi esposa le encantó y siguió usando el champú y el jabón de baño corporal gratuitos. Cuando me dirigí al vestíbulo para mi conferencia, me perdí y le pregunté a una de las personas que trabajaba allí dónde podría celebrarse mi reunión. Me llevó hasta la puerta y quedé muy impresionado. Hay un gimnasio al que iba todos los días, y este fantástico restaurante llamado C-House está muy bien situado al lado del vestíbulo del hotel, donde comí un buen bistec y mi esposa una ensalada. Considerándolo todo, pensé que el viaje realmente valió la pena y mi estadía en el Affinia Chicago fue muy acogedora. Recomiendo encarecidamente que siempre que visites Chicago te quedes allí, no te arrepentirás.",NEUTRAL,POSITIVO
